date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:48	110418/110418	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/jquery.themepunch.tools.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/jquery.themepunch.tools.min.js	(from https://smallcharge.ml/)
17:39:49	8281/8281	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.actions.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.actions.min.js	(from https://smallcharge.ml/)
17:39:49	7601/7601	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.carousel.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.carousel.min.js	(from https://smallcharge.ml/)
17:39:49	3748/3748	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.kenburn.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.kenburn.min.js	(from https://smallcharge.ml/)
17:39:49	55994/55994	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.layeranimation.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from https://smallcharge.ml/)
17:39:50	26095/26095	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.migration.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.migration.min.js	(from https://smallcharge.ml/)
17:39:50	26095/26095	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.navigation.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.navigation.min.js	(from https://smallcharge.ml/)
17:39:50	10925/10925	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.parallax.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.parallax.min.js	(from https://smallcharge.ml/)
17:39:50	29395/29395	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.slideanims.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.slideanims.min.js	(from https://smallcharge.ml/)
17:39:51	24205/24205	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Sep%202020%2015:09:31%20GMT	https://smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.video.min.js	C:/Users/lenovo/OneDrive/Desktop/Medicozcekah2/Medicoz/smallcharge.ml/plugins/revolution/js/extensions/revolution.extension.video.min.js	(from https://smallcharge.ml/)
